Carnet,Carrera,Plan,IdCampus,Sexo,AnioIngreso,CicloIngreso,InstitucionBach,TieneBeca,PorcentajeBeca_Promedio,MateriasInscritas_C1,MateriasAprobadas_C1,MateriasReprobadas_C1,TasaAprobacion_C1,PromedioCiclo_C1,MateriasInscritas_C2,MateriasAprobadas_C2,MateriasReprobadas_C2,TasaAprobacion_C2,PromedioCiclo_C2,TotalMateriasInscritas_Anio1,TotalMateriasAprobadas_Anio1,TotalMateriasReprobadas_Anio1,TasaAprobacion_Anio1,PromedioGeneral_Anio1,AvanceCarrera_FinAnio1,PAES_Score,CantInsolvencias_Recurrentes,CantRetirosParciales,CantRetirosTotales,CantCambiosCarrera,Ind_PAES,Ind_CUM,Ind_Avance,Ind_Solvencia,Ind_RetiroParcial,Ind_RetiroTotal,Ind_CambioCarrera,Ind_Reprobacion,Ind_BrechaDesercion,IRE_Total,Deserto
CA242592,919,2024,9,102302,2024,1,319,0,NULL,4,4,0,1,8.71,4,4,0,1,9.17,8,8,0,1,8.94,52.5,7.69,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CA242637  ,444,2018,1,102301,2024,1,152,0,NULL,6,3,3,0.5,6.59,5,5,0,1,7.57,11,8,3,0.7273,7.08,34.8,9.3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
CA242744,906,2024,9,102301,2024,1,994,0,NULL,5,5,0,1,7.98,4,4,0,1,8.12,9,9,0,1,8.05,59.1,6.93,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CA242820  ,626,2024,2,102301,2024,1,18,0,NULL,3,3,0,1,9.6,3,3,0,1,8.45,6,6,0,1,9.03,61.5,0,9,0,0,0,1,0,0,1,0,0,0,0,0,2,0
CA242830  ,626,2024,2,102301,2024,2,18,0,NULL,3,3,0,1,9.9,3,3,0,1,8.93,6,6,0,1,9.41,61.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CB200003  ,702,2014,1,102301,2020,1,18,0,NULL,5,0,4,0,4.09,NULL,NULL,NULL,NULL,NULL,5,0,4,0,4.09,24.2,6.77,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0
CB200354  ,219,2018,2,102302,2020,1,502,0,NULL,2,2,0,1,8.68,4,4,0,1,8.78,6,6,0,1,8.73,86.4,7.76,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CB200841  ,301,2016,1,102302,2020,1,245,0,NULL,5,5,0,1,8.33,5,5,0,1,8.42,10,10,0,1,8.37,100,6.39,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CB200861  ,109,2017,1,102301,2020,1,277,0,NULL,5,5,0,1,7.81,5,5,0,1,7.59,10,10,0,1,7.7,60.7,9.18,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CB201106  ,409,2019,1,102302,2020,1,379,0,NULL,5,5,0,1,8.04,4,4,0,1,8.49,9,9,0,1,8.26,100,7.94,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
